Date,Region,Category,BTS_ID,Cell_ID,Layer,Overload_Flag,Overload_Period,Total_DataVol_GB,DataVol_DL_DRB_GB,DataVol_UL_DRB_GB,DataVol_DL_SRB_GB,DataVol_UL_SRB_GB,LTE_User_THP_DL_Mbps,LTE_User_THP_UL_Mbps,LTE_Cell_THP_DL_Mbps,LTE_Cell_THP_UL_Mbps,LTE_PrbUtil_UL_pct,LTE_PrbUtil_DL_pct,LTE_PDCCH_CCE_Load_pct,LTE_CceAgg_1,LTE_CceAgg_2,LTE_CceAgg_4,LTE_CceAgg_8,LTE_CFI3_Share_pct,PDCCH_Adm_Rej_Count,LTE_Max_RRC_CU,LTE_Avg_RRC_CU,LTE_Active_UL_Users_TTI,SR_Fail_Ratio,PUCCH_SR_Cong_Count
2024-03-04,Dakar,Dense Urban,DK0001,DK0001A,L800,0,,17.6075,14.4048,3.0832,0.0722,0.0474,10.19,1.981,8.604,1.694,32.57,46.77,20.95,8451113,4159572,1930961,480909,49.01,45,83.9,64.7,32.6,0.0119,335
2024-03-04,Dakar,Dense Urban,DK0001,DK0001A,L1800,0,,22.5662,18.648,3.7637,0.0913,0.0633,8.06,1.629,7.658,1.279,42.62,57.31,27.55,8430930,4223503,2074015,488276,60.48,62,142.0,106.5,57.2,0.0144,481
2024-03-04,Dakar,Dense Urban,DK0001,DK0001A,L2600,0,,26.6142,21.8487,4.5878,0.1056,0.0722,6.697,1.246,6.803,1.188,52.11,73.53,34.6,8404999,3802476,1927035,472713,71.47,71,192.6,160.5,77.8,0.0175,542
2024-03-04,Dakar,Dense Urban,DK0001,DK0001B,L800,0,,17.142,13.9948,3.0311,0.0666,0.0495,10.976,1.992,8.547,1.684,32.97,46.88,22.95,7591082,3932063,1907808,521786,51.7,45,79.3,63.8,32.8,0.012,356
2024-03-04,Dakar,Dense Urban,DK0001,DK0001B,L1800,0,,23.9763,20.0137,3.8122,0.0876,0.0628,8.623,1.638,7.82,1.351,42.19,59.15,27.41,7623575,3775086,2032738,488861,63.62,64,138.8,110.4,59.0,0.0148,435
2024-03-04,Dakar,Dense Urban,DK0001,DK0001B,L2600,0,,26.4376,21.9323,4.3171,0.1136,0.0747,6.767,1.353,6.675,1.107,51.83,70.53,35.46,8380247,3912641,1906412,483676,72.36,74,206.6,145.3,79.3,0.0178,521
2024-03-04,Dakar,Dense Urban,DK0001,DK0001C,L800,0,,16.9456,13.9579,2.868,0.0739,0.0458,10.653,2.117,8.937,1.714,33.96,44.27,22.22,7808843,3896723,1888852,506573,50.97,44,81.4,68.4,32.4,0.0112,350
2024-03-04,Dakar,Dense Urban,DK0001,DK0001C,L1800,0,,24.103,20.2396,3.7066,0.0937,0.0631,8.098,1.67,7.454,1.374,42.75,59.93,27.64,8321890,3913974,1924764,472446,64.24,62,134.8,111.7,55.3,0.0156,441
2024-03-04,Dakar,Dense Urban,DK0001,DK0001C,L2600,0,,27.6369,23.0155,4.4388,0.1137,0.0689,6.533,1.235,6.768,1.202,48.06,71.55,35.5,8052992,4014232,1938044,475586,76.48,75,201.2,151.5,77.8,0.0185,565
2024-03-04,Dakar,Dense Urban,DK0002,DK0002A,L800,0,,18.4434,15.3043,3.0232,0.0714,0.0445,10.197,2.166,9.202,1.527,30.64,46.53,20.91,7674375,4023392,2046054,509117,49.26,47,81.0,63.9,34.5,0.0119,365
2024-03-04,Dakar,Dense Urban,DK0002,DK0002A,L1800,0,,23.4906,19.4867,3.8564,0.0873,0.0602,8.125,1.576,8.004,1.335,44.05,60.61,30.1,8002531,4036913,1998204,481714,65.25,59,134.9,113.5,55.0,0.0161,484
2024-03-04,Dakar,Dense Urban,DK0002,DK0002A,L2600,0,,28.2274,23.6201,4.4299,0.1017,0.0757,6.603,1.368,6.798,1.199,48.28,69.23,35.64,7824245,3841356,2013632,526169,74.72,72,188.4,156.6,83.9,0.0172,541
2024-03-04,Dakar,Dense Urban,DK0002,DK0002B,L800,0,,18.4166,15.2873,3.0095,0.0719,0.0479,10.45,2.016,9.423,1.683,33.59,47.89,22.26,8001455,4143181,2035991,512118,52.76,48,82.0,64.3,31.8,0.0118,331
2024-03-04,Dakar,Dense Urban,DK0002,DK0002B,L1800,0,,23.0419,19.046,3.8446,0.0894,0.0619,7.89,1.535,7.867,1.33,40.19,59.83,30.01,7727188,4058987,1900483,473100,63.79,61,145.4,114.6,60.5,0.0153,449
2024-03-04,Dakar,Dense Urban,DK0002,DK0002B,L2600,0,,27.8488,23.297,4.3762,0.1072,0.0684,6.281,1.367,6.7,1.177,48.96,67.45,32.79,7760233,4023628,2051503,509611,71.07,75,203.7,155.4,80.3,0.0178,523
2024-03-04,Dakar,Dense Urban,DK0002,DK0002C,L800,0,,17.4985,14.3722,3.0155,0.0661,0.0446,10.05,1.953,9.474,1.662,32.08,43.43,22.21,7974532,3843136,1984124,493910,51.66,47,79.1,64.3,34.0,0.0117,366
2024-03-04,Dakar,Dense Urban,DK0002,DK0002C,L1800,0,,23.3088,19.4892,3.6703,0.0871,0.0622,7.886,1.642,7.974,1.365,41.51,60.7,28.92,8043792,4211903,1972664,527671,66.64,58,135.7,106.2,53.9,0.0146,469
2024-03-04,Dakar,Dense Urban,DK0002,DK0002C,L2600,0,,25.9248,21.3422,4.4022,0.1125,0.0679,6.911,1.261,6.145,1.177,50.27,73.38,35.16,8291341,3895376,1922585,515036,75.69,76,195.9,152.1,81.8,0.0177,567
2024-03-04,Dakar,Dense Urban,DK0003,DK0003A,L800,0,,18.2746,15.254,2.9001,0.0723,0.0482,10.123,2.167,9.092,1.686,31.48,47.8,21.93,7530404,4194583,1901908,489158,53.7,49,84.4,66.3,33.3,0.0114,343
2024-03-04,Dakar,Dense Urban,DK0003,DK0003A,L1800,0,,23.6201,19.5209,3.9408,0.095,0.0633,7.951,1.625,7.172,1.361,41.78,62.45,28.55,7632384,3828636,2062762,507093,60.51,58,146.5,105.9,59.4,0.0157,435
2024-03-04,Dakar,Dense Urban,DK0003,DK0003A,L2600,0,,26.3191,21.3791,4.7628,0.1064,0.0709,6.91,1.365,6.816,1.185,48.76,66.69,35.34,8056068,3963626,2097525,476671,72.94,67,197.3,146.2,75.6,0.0172,549
