Layer_enc,Cell_enc,BTS_enc,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,Overload_Flag,LTE_PDCCH_CCE_Load_pct,LTE_CFI3_Share_pct,LTE_CceAgg_1,LTE_CceAgg_2,LTE_CceAgg_4,LTE_CceAgg_8,PDCCH_Adm_Rej_Count,LTE_Max_RRC_CU,LTE_Active_UL_Users_TTI,SR_Fail_Ratio,PUCCH_SR_Cong_Count,DL_UL_Vol_Ratio,PRB_Total,Lat,Lon,Azimuth,PCI,EARFCN,TAC,Total_DataVol_GB,LTE_Avg_RRC_CU,LTE_Cell_THP_DL_Mbps,LTE_PrbUtil_DL_pct
2,0,0,0,4,3,10,0,0,20.95,49.01,8451113,4159572,1930961,480909,45,83.9,32.6,0.0119,335,4.672027545398435,79.34,14.74571,-17.452823,17,457,6300,2001,17.6075,64.7,8.604,46.77
1,21,7,0,4,3,10,0,0,36.13,70.17,7610144,4082849,1986500,522088,73,206.0,80.9,0.018,547,4.963577995834887,119.38999999999999,14.716365,-17.427395,53,273,1650,2001,27.0675,162.7,6.292,71.66
0,21,7,0,4,3,10,0,0,28.9,60.87,8416520,3911754,2001736,472494,64,151.0,60.3,0.0156,479,4.837480010645966,96.71000000000001,14.716365,-17.427395,53,273,6300,2001,23.4618,105.0,7.602,56.96
2,21,7,0,4,3,10,0,0,22.05,48.92,7758765,4056229,2049626,480022,44,86.0,33.4,0.0122,363,5.403482362637775,78.98,14.716365,-17.427395,53,14,300,2001,18.0211,66.5,8.726,47.43
1,20,6,0,4,3,10,0,0,33.16,73.81,8355919,3973746,2003556,491554,69,195.4,76.9,0.0183,528,5.377678359061065,121.74,14.683547,-17.438945,327,367,6300,2001,27.6168,163.1,6.804,70.13
0,20,6,0,4,3,10,0,0,28.86,62.95,8216247,3993601,2089621,524042,59,144.6,55.2,0.0155,466,5.082379792232765,104.16,14.683547,-17.438945,327,263,300,2001,24.0546,117.1,8.017,60.23
2,20,6,0,4,3,10,0,0,22.38,51.87,8210433,3869658,2119120,528487,45,85.5,31.6,0.0114,349,5.054783441531477,78.41,14.683547,-17.438945,327,423,300,2001,17.1052,61.9,8.739,45.62
1,19,6,0,4,3,10,0,0,33.54,75.78,8302232,3798455,2094755,502855,71,201.4,81.4,0.0171,511,4.958992744444813,123.50999999999999,14.683547,-17.438945,167,251,6300,2001,27.6576,154.9,6.602,72.74
0,19,6,0,4,3,10,0,0,27.63,60.75,7856601,3775937,1898858,493815,61,146.3,55.2,0.0147,437,4.577856788396209,101.0,14.683547,-17.438945,167,471,6300,2001,22.7304,115.6,7.628,59.8
2,19,6,0,4,3,10,0,0,20.93,49.68,7589549,3948396,1995185,506001,47,87.3,31.6,0.0117,334,5.154523304767004,76.82000000000001,14.683547,-17.438945,167,77,1650,2001,17.9656,67.4,8.834,45.38
1,18,6,0,4,3,10,0,0,35.31,68.9,8330991,4125291,2030292,477874,75,200.8,79.0,0.0172,515,5.115709448123423,124.22,14.683547,-17.438945,109,96,300,2001,26.153,159.9,6.802,72.53
0,18,6,0,4,3,10,0,0,30.64,64.61,7665015,3967520,2106467,495183,60,139.2,56.6,0.016,444,4.984772665534313,100.91,14.683547,-17.438945,109,1,300,2001,22.9097,118.1,7.194,58.05
2,18,6,0,4,3,10,0,0,22.9,49.87,7644882,4123966,1885900,471327,46,86.4,33.2,0.0114,371,4.7615807472796945,82.2,14.683547,-17.438945,109,217,1650,2001,17.3876,66.7,8.591,48.2
1,17,5,0,4,3,10,0,0,35.35,71.61,7622701,4125293,2009903,527779,73,208.3,83.4,0.0184,511,5.194670249851188,120.84,14.695796,-17.46843,351,83,6300,2001,28.0726,147.1,6.542,70.54
0,17,5,0,4,3,10,0,0,29.48,59.96,8242607,3836130,2091408,522310,63,136.7,58.9,0.0147,476,4.648968528316362,104.03,14.695796,-17.46843,351,37,6300,2001,22.7466,109.4,7.763,60.96
2,17,5,0,4,3,10,0,0,21.11,50.92,7731375,4087964,1898271,521072,46,84.6,32.9,0.0119,353,5.030490166636945,78.65,14.695796,-17.46843,351,155,1650,2001,18.4128,67.8,8.947,45.61
1,16,5,0,4,3,10,0,0,35.5,73.7,7735462,3867432,2008873,505576,68,207.0,75.7,0.0188,569,4.482400756863493,117.94,14.695796,-17.46843,228,62,300,2001,26.2482,150.1,6.36,67.28
0,16,5,0,4,3,10,0,0,30.78,63.65,7742404,4212511,2035915,506464,59,137.5,55.1,0.0158,450,4.5835037619983225,99.94,14.695796,-17.46843,228,312,6300,2001,22.6631,107.8,7.978,57.29
2,16,5,0,4,3,10,0,0,21.53,49.32,7626055,3930218,1948937,487778,44,78.8,33.2,0.0115,358,5.221716867876265,78.8,14.695796,-17.46843,228,414,6300,2001,18.102,69.1,9.379,46.93
1,15,5,0,4,3,10,0,0,35.78,68.81,8111228,3871820,1885856,522205,75,198.7,82.0,0.0191,530,4.636950795277726,119.68,14.695796,-17.46843,68,47,1650,2001,26.1436,162.6,6.471,71.26
2,22,7,0,4,3,10,0,0,21.18,50.38,8151531,4239718,1891570,528630,48,86.5,34.4,0.0122,346,5.1774340031751285,78.23,14.716365,-17.427395,208,360,6300,2001,18.3377,65.8,8.776,46.46
0,15,5,0,4,3,10,0,0,30.55,66.18,8452215,4213247,1993811,521722,59,148.7,57.9,0.0148,438,5.574522477716826,101.28999999999999,14.695796,-17.46843,68,40,300,2001,23.9161,105.4,7.952,58.22
1,22,7,0,4,3,10,0,0,34.53,74.91,8032258,4051794,2063571,518779,75,186.6,74.5,0.0183,565,5.093988104817065,118.13999999999999,14.716365,-17.427395,208,182,6300,2001,27.4845,148.8,6.073,69.35
0,23,7,0,4,3,10,0,0,30.64,61.35,8097547,4153210,2092209,483684,62,141.5,60.0,0.015,444,5.379134780460193,100.39,14.716365,-17.427395,352,424,1650,2001,23.4013,116.1,7.852,60.62
